Stego?;Entropy_img_full;Mean_entropy_slices;Stdev_entropy_slices;Mean_MarkovChains_00;Mean_MarkovChains_01;Mean_MarkovChains_10;Mean_MarkovChains_11;Stdev_MarkovChains_00;Stdev_MarkovChains_01;Stdev_MarkovChains_10;Stdev_MarkovChains_11;Mean_imgfull_MarkovChains_00;Mean_imgfull_MarkovChains_01;Mean_imgfull_MarkovChains_10;Mean_imgfull_MarkovChains_11;Conditional_Entropy_Slice_01;Conditional_Entropy_Slice_02;Conditional_Entropy_Slice_03;Conditional_Entropy_Slice_04;Conditional_Entropy_Slice_05;Conditional_Entropy_Slice_06;Conditional_Entropy_Slice_07;Conditional_Entropy_Slice_08;Conditional_Entropy_Slice_09;Conditional_Entropy_Slice_10;Conditional_Entropy_Slice_11;Conditional_Entropy_Slice_12;Conditional_Entropy_Slice_13;Conditional_Entropy_Slice_14;Conditional_Entropy_Slice_15;Conditional_Entropy_Slice_16;Conditional_Entropy_Slice_17;Conditional_Entropy_Slice_18;Conditional_Entropy_Slice_19;Conditional_Entropy_Slice_20;Conditional_Entropy_Slice_21;Conditional_Entropy_Slice_22;Conditional_Entropy_Slice_23;Conditional_Entropy_Slice_24;Conditional_Entropy_Slice_25;Conditional_Entropy_Slice_26;Conditional_Entropy_Slice_27;Conditional_Entropy_Slice_28;Conditional_Entropy_Slice_29;Conditional_Entropy_Slice_30;Conditional_Entropy_Slice_31;Conditional_Entropy_Slice_32;Conditional_Entropy_Slice_33;Conditional_Entropy_Slice_34;Conditional_Entropy_Slice_35;Conditional_Entropy_Slice_36;
yes;2.855183737669609;4.113709682408004;3.8113937696097775;0.687109375;0.312890625;0.13113839285714285;0.8688616071428571;0.16535148874851177;0.16535148874851174;0.10241944528315336;0.10241944528315336;0.5;0.5;0.0;1.0;1.2366569528726785;0.7951971016966217;0.24062686933118993;2.2496681053936443;0.16848372691917657;3.7747088405233047;0.4653262909942663;2.11030087820317;0.5690583131071101;0.7740298191822812;0.34651552086716464;3.253148801119987;0.028000767177423672;0.9988012982089276;0.040014776725611156;0.08932358802799811;0.2002663126508697;2.589319370329348;1.40670875818314;0.5578761474078293;0.10849345073243288;0.055033872626879976;0.04730835809518297;2.8893728131941527;1.859634664178237;0.3860498385458797;0.1954735762939448;0.2481847672023907;0.03565598153212779;3.2539497289068415;2.8957045724003017;0.23685416581291197;0.029198655038619847;0.08258379177220032;0.048994402997072584;3.231052277639984;
yes;4.623276934752313;6.702462235998356;2.5864005554467004;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;3.8260091421733637;3.1013598754120215;2.1828189483153593;1.8005915973760978;1.1810771880755615;1.448467934097767;4.162323918193675;3.757888939078053;1.6078869949053836;2.1981466494129998;1.755510237445153;0.8574121720225216;3.8065949205217677;4.129561880263283;1.513078306326956;1.2202110357252858;0.9340438930220394;0.4372779927673571;3.4365150963733933;3.5616908460933216;1.9016771264357306;0.46019277772820555;1.3789177631667062;0.9626654094503699;1.4444231648925303;1.112712643775506;1.211998504928263;0.686347879941823;1.4580086280702123;1.4388637667860493;3.5037757068039856;2.1973178920425336;0.35562259642063143;0.9954137239035417;1.535387397104075;1.6794907401437111;
yes;4.994956057261908;8.119186706497873;0.908494825624393;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;2.4441578272424507;2.2470351890049054;2.3946547815191135;1.9413836496629244;2.2090974819408475;2.242170953344731;1.8913946347957715;0.9602213797977761;1.1223075796846675;1.1980859056308217;1.916793428030637;1.1593471568171738;1.358700883278897;1.3287133601133228;1.2681597378908123;1.1893740621551476;1.5007937278286798;1.3552433711088803;2.576641867069092;2.2668554440451083;1.356950181063958;1.0757858819989048;2.371542636237188;1.5130056302094186;2.4279038260831274;2.065351334649351;2.3497002378308376;1.8411660120838977;2.6154272660073654;2.3719458196874093;2.5036581477060333;2.3903719140317174;2.1194672374364747;1.7502057905067918;1.8842878833561647;1.7368891074965402;
yes;4.913670689374191;6.277108374532678;1.331118952650113;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;1.651918024978197;1.5196635396552107;0.9337217153436597;0.8692417470283593;1.5415167179217435;2.0310385592208933;0.7723103253930694;0.4775872365213458;0.2215359451259804;0.20024997076276652;0.30841868661170224;0.799963755849761;0.5024440922294948;0.31121817296591736;0.14454446680680721;0.1419303775829377;0.21220492289092796;0.4146022834453844;1.2982362329306776;0.8717818636864929;0.29825922827919715;0.31276044182853013;0.363493297162941;0.90738959810021;1.2823296881174517;0.4577034309539374;0.3231204051134515;0.8444608514303047;1.0993763830442047;1.2239920836470288;2.526211315500242;1.1774871195711945;0.5225125235794503;0.8968443407392437;0.9946427545129071;1.3311780227501315;
yes;5.285117724559696;8.664420169791404;1.202266896967222;0.6858258928571429;0.31417410714285715;0.2161830357142857;0.7838169642857142;0.12497646158357746;0.12497646158357746;0.11071697156788965;0.11071697156788965;0.5;0.5;0.0;1.0;1.8767705752686785;2.621671919246856;2.5175473272419686;1.7906023227750643;2.449064135178282;2.8198258786224133;1.1085712319714967;1.7449014583313769;1.087417161731083;1.3899926484483949;2.506174228891299;2.345518679319338;1.433477381416826;1.9366865791011927;1.3243195301473172;1.23564746585871;2.202945285677284;1.8358707267853296;1.2473186949219066;1.461203287336108;1.5258046912967904;1.5191040671635827;2.3300863637307723;1.5416179224998148;1.3926540817838662;1.6258087448066085;1.5392469420435022;1.5517739537458626;2.103024432724297;1.5001954688984727;2.061943690293435;2.478290812168698;0.9411424740442422;1.0025359101939344;2.342648434904982;2.514075290868192;
yes;5.478538991661489;8.170828070116528;0.38240660501848944;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5056843099030599;0.4943156900969401;0.13103882858018887;0.8689611714198111;0.1398519045950346;0.07134216954775496;0.3539236112228892;0.2688999066537212;0.09307751436668799;0.24221288520027784;0.14375135074493883;0.36522277443750717;1.0304648255006508;0.6615519096888081;0.17141762395132343;0.43019660870831755;0.058586209038450576;0.07869790095996265;0.1651363717990515;0.39045482694587097;0.13900683557674487;0.23151448652220363;0.12575719270131902;0.06579138813964303;0.2598299988138031;0.4384118614864665;0.22662094761020946;0.25998665849701474;0.08825951011459754;0.25706352169175695;0.4781275626888557;0.029142872602567316;0.1488067573694991;0.17143463921715885;0.10788047209309948;0.15676019699841248;0.4542659713952295;0.03998355750858895;0.31118679004621175;0.19863816941021195;
yes;4.874040531694547;5.801532424630775;1.7373221670481496;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;3.023764193243017;2.318547940863485;1.5215572256524688;1.9734442607814193;1.86335007289108;3.0224564305917294;2.9103381382850744;0.5729044594974573;0.810683687256962;0.9489727383019071;1.0458033868555043;2.361606609999314;2.540908941507672;0.803471321254849;0.5698320469613458;0.9929670669190047;0.8250029923069548;1.7651895070020136;1.2496334457543878;1.1066129854408753;0.4498690392195597;0.43054856078517556;1.022885039226865;3.3188283386801807;1.2605377471858255;0.7203471490386608;0.3201850528110439;1.030856733434792;1.2942522012127613;2.419348854826862;0.9439224989530826;0.8035729718520663;0.8181882359468626;1.3577590329414444;1.1417035056996174;1.87638086872811;
yes;5.007408279427059;8.679918482111427;0.6093875198776156;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;1.1918690909512515;1.3464050090957986;1.961774057464397;1.3772349504483494;1.1024645837966869;1.0229030014471787;0.895576171793544;1.1226421386214716;1.2168851749260314;1.0094666688281864;0.9042676784269368;0.9220923668040539;0.9713216194185135;1.1333413191118726;1.294395957845655;0.5235988236071787;0.24469962608868912;0.6409582336614168;0.8101861728208561;1.2688335483062376;0.8930558065839005;0.5128965126363099;0.3720163654979105;0.6641062529748654;0.809947208818671;1.363663539805998;1.2533345169990868;0.5798032914322224;0.5883309479511656;0.8333380175276899;1.2094607081752153;1.4867081011028054;0.9310501691397777;0.8285292120797099;0.8714443629918804;1.281766906451434;
yes;4.68285706981315;5.593525794655551;1.6842400427889819;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5184645991263638;0.48153540087363617;0.06434542260848733;0.9356545773915127;1.2684486688671237;0.4748581761976065;0.576907109761255;0.8368768829975695;1.8592160367198827;1.6732196429695978;1.2532247762191995;1.3806222225785265;0.9174141028683089;0.4460317075814406;0.6171680316016461;1.4334754218305699;0.5182372893629812;0.2353254236409552;0.33543764855044067;0.2283212088749056;0.10705928389868502;0.8878034131999484;0.6102439962330255;0.07991501952820457;0.158352123116841;0.11323228013501607;0.10094630280422434;1.1562057976227962;0.6037597406910651;0.10262828292102366;0.09697984744852883;0.0717760458451897;0.04444463291385681;1.1266497385905958;1.7070922604614163;0.9046505040232269;1.166877853075968;0.7056962580802484;1.3128138828833524;1.5177420011995308;
yes;5.1831875133200205;7.180866961206406;0.8316789504417954;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;0.5108166450063378;0.6933596162063851;0.747243013590611;0.49295996500226735;0.4232232194944632;0.5757109063192543;0.2513978241860251;0.25291874311449725;0.46686505764499664;0.2535179143152013;0.3880060689900495;0.3905776102319698;0.1837835489684463;0.24968758442760075;0.26800039660716957;0.05603047054908972;0.08077727435321425;0.13309964245993156;0.13526565840713944;0.1940183896519323;0.047737924600236514;0.07559557953608786;0.09613006919612044;0.02216385025217038;0.04133441401318905;0.013344502328373586;0.013444972402060884;0.07386834060676373;0.27561821799256503;0.018768683466269476;0.19569887847799405;0.10792531726771193;0.07483866293186203;0.07151561753694757;0.08456911750399643;0.05041994749019585;
yes;4.958656514348578;6.473865045323011;1.111368851109729;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;0.5927015007900334;1.208733906016731;0.9170732414475511;0.8108717568688686;1.5076672792096923;0.9478613562293443;1.0340155321774938;0.6667114808513124;0.19463327174531386;0.2378432485033697;0.8576160112990876;0.7832828207275662;0.946621945439003;0.346228281886392;0.09535167580779103;0.11508828723077702;0.7431567923635471;0.6577959554829995;0.681386824672467;0.2544171341661312;0.06460892062845591;0.045706300530905075;0.43893722857569806;0.8892939519734577;0.8083442380260069;0.46798459189053476;0.17884379159445984;0.10347598533337266;0.640153219508004;0.9893439572375784;0.9322793959778717;0.684081930992193;0.3443333037319749;0.5703948865208841;0.686374809181789;0.6969969186152367;
yes;5.402717928825357;7.822998444841486;0.5774360669026533;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5135720263796494;0.48642797362035056;0.041653601787121616;0.9583463982128784;0.4198117047217025;0.7468746144555518;0.5224003982638523;0.49682843514834474;0.4185796098911325;0.4528265094675321;0.8136829812266755;0.5513750501086667;0.5348985855093797;0.43025310554691654;0.27448113072448344;0.7808625925786661;0.6719287698325798;0.5779295482903564;0.2700437057856533;0.40212028559843915;0.38983615237843683;0.6324203103379546;0.8575406106710677;1.1627977196017008;0.8548791970360119;0.5259578478969171;0.7540086433891942;0.558663777852539;0.8591704264387183;1.0990593052412594;0.9690553175850503;0.721163894881665;0.7896113952837074;0.7221316653224052;0.8274744790036745;1.2110236874622862;1.0558586622400243;0.821359343219124;1.2579987713337455;0.8839603620101326;
yes;5.448860854033628;8.616118576792802;0.4274643198908196;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5116504854368932;0.4883495145631068;0.017529665587918016;0.982470334412082;0.6985296300723114;0.18266442817579254;0.22169977850911415;0.42139843775223795;0.22423554921641387;0.29350270501910725;0.20520154478407893;0.6012526402244989;0.1902350824212382;0.3226550515433413;0.5561685252001345;0.21905769303548706;0.1644675955606516;0.33385976837508746;0.06711141448110425;0.2636347580823868;0.46649149084405117;0.3225527167456663;0.1299549671120248;0.17062438933833235;0.10469458556277278;0.1819313362288213;0.46831739519472126;0.30633318762477924;0.1659374953142354;0.13591940531369495;0.058512674926994634;0.20042080992361022;0.24847182239945642;0.17416203224896165;0.2067954709993982;0.06497679927686306;0.22042465853504734;0.5260143219368434;0.51592706816741;0.9572317039960407;
yes;5.20742930904587;6.661243450260254;1.3688544168187446;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;3.4386272187880307;2.7445554404657937;1.5764480613623828;2.043854877976266;1.7202469406249277;2.9220285558301566;2.4449885904517057;1.6141567440192568;1.3538088733007267;1.340278882858879;1.568435496490462;2.635654281657436;2.0329420570166277;1.9129302594147037;1.4966185897048456;1.7385332119308798;1.6612311012382932;2.492655354066937;1.9644195029638922;1.2706826836934741;1.247769273877716;1.4211883403862107;1.757979517437228;2.4835542690234647;2.2560645600201696;1.397055906105682;1.027299160546641;1.0001555531405284;1.046976345680343;1.8331961978305595;1.5106920212549824;2.2517989697601584;1.569897787423006;2.3756927909924954;1.817498747973521;1.5338100775840786;
